jobID,URL,extract_date,jobpost_date
4447074640,https://in.linkedin.com/jobs/view/senior-data-engineer-at-dataeconomy-4447074640,2026-08-03,2 days ago
4438610689,https://in.linkedin.com/jobs/view/senior-software-engineer-data-platform-at-wood-mackenzie-4438610689,2026-08-03,2 days ago
4437080981,https://in.linkedin.com/jobs/view/azure-data-engineer-%E2%80%93-adf-at-infosys-4437080981,2026-08-03,2 days ago
4329481543,https://in.linkedin.com/jobs/view/senior-data-engineer-at-toppan-merrill-4329481543,2026-08-03,3 days ago
4389899831,https://in.linkedin.com/jobs/view/data-engineer-65175-at-hitachi-digital-services-4389899831,2026-08-03,2 days ago
4446571702,https://in.linkedin.com/jobs/view/azure-data-engineer-at-exl-4446571702,2026-08-03,3 days ago
4446794707,https://in.linkedin.com/jobs/view/snowflake-data-engineer-python-cloud-at-calitii-4446794707,2026-08-03,3 days ago
4426756195,https://in.linkedin.com/jobs/view/associate-%E2%80%93-data-engineer-data-business-coe-at-bain-company-4426756195,2026-08-03,3 days ago
4446923261,https://in.linkedin.com/jobs/view/ai-data-engineer-at-s-p-global-4446923261,2026-08-03,2 days ago
4446727270,https://in.linkedin.com/jobs/view/data-engineer%2Bdata-analyst-at-exl-4446727270,2026-08-03,2 days ago
4447018458,https://in.linkedin.com/jobs/view/data-engineer-at-altera-4447018458,2026-08-03,3 days ago
4446598330,https://in.linkedin.com/jobs/view/data-engineer-at-clinisys-4446598330,2026-08-03,4 days ago
4429269241,https://in.linkedin.com/jobs/view/data-engineer-specialist-at-google-operations-center-4429269241,2026-08-03,3 days ago
4429705998,https://in.linkedin.com/jobs/view/data-engineer-at-cisco-4429705998,2026-08-03,4 days ago
4366454534,https://in.linkedin.com/jobs/view/business-intelligence-analyst-data-engineering-at-medpace-4366454534,2026-08-03,4 days ago
4410038921,https://in.linkedin.com/jobs/view/data-engineer-at-bnp-paribas-4410038921,2026-08-03,4 days ago
4444467276,https://in.linkedin.com/jobs/view/data-engineer-specialist-at-vanguard-4444467276,2026-08-03,5 days ago
4443279580,https://in.linkedin.com/jobs/view/data-engineer-at-chevron-4443279580,2026-08-03,4 days ago
4446335438,https://in.linkedin.com/jobs/view/senior-data-engineer-pyspark-sql-databricks-at-marsh-4446335438,2026-08-03,5 days ago
4445707904,https://in.linkedin.com/jobs/view/senior-data-engineer-at-solytics-partners-4445707904,2026-08-03,5 days ago
4443266697,https://in.linkedin.com/jobs/view/data-engineer-at-sandvik-coromant-4443266697,2026-08-03,5 days ago
4445481911,https://in.linkedin.com/jobs/view/data-engineer-ii-at-g2-4445481911,2026-08-03,5 days ago
4443279888,https://in.linkedin.com/jobs/view/data-engineer-i-at-novo-nordisk-4443279888,2026-08-03,5 days ago
4443290847,https://in.linkedin.com/jobs/view/data-engineer-databricks-react-at-ey-4443290847,2026-08-03,5 days ago
4443298741,https://in.linkedin.com/jobs/view/de-a-data-engineer-etl-developer-snowflake-at-zensar-technologies-4443298741,2026-08-03,5 days ago
4444450824,https://in.linkedin.com/jobs/view/data-engineer-specialist-at-vanguard-4444450824,2026-08-03,4 days ago
4446159370,https://in.linkedin.com/jobs/view/data-engineer-at-greenlight-4446159370,2026-08-03,5 days ago
4442833996,https://in.linkedin.com/jobs/view/data-engineer-ii-at-electronic-arts-ea-4442833996,2026-08-03,6 days ago
4445900637,https://in.linkedin.com/jobs/view/data-engineer-at-cisco-4445900637,2026-08-03,6 days ago
4444899029,https://in.linkedin.com/jobs/view/data-engineer-at-noventiq-india-4444899029,2026-08-03,6 days ago
4442809951,https://in.linkedin.com/jobs/view/data-engineer-databricks-at-bridgenext-4442809951,2026-08-03,6 days ago
4445934020,https://in.linkedin.com/jobs/view/data-engineering-engineer-ii-at-tekwissen-india-4445934020,2026-08-03,6 days ago
4442875296,https://in.linkedin.com/jobs/view/machine-learning-data-engineer-at-sealcube-secops-4442875296,2026-08-03,6 days ago
4442845911,https://in.linkedin.com/jobs/view/data-engineer-ii-at-electronic-arts-ea-4442845911,2026-08-03,6 days ago
4431079703,https://in.linkedin.com/jobs/view/senior-data-engineer-at-wpp-4431079703,2026-08-03,5 days ago
4442849975,https://in.linkedin.com/jobs/view/lead-ii-data-engineering-python-aws-sql-at-ust-4442849975,2026-08-03,6 days ago
4442817675,https://in.linkedin.com/jobs/view/senior-data-engineer-at-version-1-4442817675,2026-08-03,6 days ago
4427712401,https://in.linkedin.com/jobs/view/senior-data-engineer-python-at-compugroup-medical-se-co-kgaa-4427712401,2026-08-03,6 days ago
4443297330,https://in.linkedin.com/jobs/view/data-engineer-data%2Bai-at-ey-4443297330,2026-08-03,6 days ago
4392274695,https://in.linkedin.com/jobs/view/data-engineer-at-definitive-healthcare-4392274695,2026-08-03,1 hour ago
4448151554,https://in.linkedin.com/jobs/view/data-engineer-2-at-illumina-4448151554,2026-08-03,23 minutes ago
4422826308,https://in.linkedin.com/jobs/view/data-engineer-at-anko-gcc-4422826308,2026-08-03,2 weeks ago
4448178825,https://in.linkedin.com/jobs/view/data-engineer-at-predigle-4448178825,2026-08-03,3 hours ago
4446217477,https://in.linkedin.com/jobs/view/databricks-data-engineer-at-virtusa-4446217477,2026-08-03,28 minutes ago
4445881677,https://in.linkedin.com/jobs/view/analytics-engineer-at-m-g-india-4445881677,2026-08-03,2 minutes ago
4448133375,https://in.linkedin.com/jobs/view/data-engineer-at-redqubes-innovation-private-limited-4448133375,2026-08-03,43 minutes ago
4446216161,https://in.linkedin.com/jobs/view/azure-data-engineer-at-arcadis-4446216161,2026-08-03,2 hours ago
4446212413,https://in.linkedin.com/jobs/view/data-engineer-at-ey-4446212413,2026-08-03,48 minutes ago
4438994821,https://in.linkedin.com/jobs/view/python%2Bspark-scala-at-infosys-4438994821,2026-08-03,54 minutes ago
4446213256,https://in.linkedin.com/jobs/view/azure-data-engineer-at-arcadis-4446213256,2026-08-03,34 minutes ago
4447628991,https://in.linkedin.com/jobs/view/data-engineer-at-techcarrot-4447628991,2026-08-03,1 day ago
4379409250,https://in.linkedin.com/jobs/view/data-engineer-at-fractal-4379409250,2026-08-03,23 hours ago
4402556039,https://in.linkedin.com/jobs/view/data-engineer-scala-at-capco-4402556039,2026-08-03,1 day ago
